model,param,feature,value,train_mse,train_r2,test_mse,test_r2
Multivariate (Scaled),b,(intercept),36.92683533274219,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m1,Cement (component 1)(kg in a m^3 mixture),14.030692072624426,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m2,Blast Furnace Slag (component 2)(kg in a m^3 mixture),10.479504598213072,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m3,Fly Ash (component 3)(kg in a m^3 mixture),6.816208746743797,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m4,Water  (component 4)(kg in a m^3 mixture),-2.986820623816923,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m5,Superplasticizer (component 5)(kg in a m^3 mixture),0.7008230064011665,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m6,Coarse Aggregate  (component 6)(kg in a m^3 mixture),2.212181979319749,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m7,Fine Aggregate (component 7)(kg in a m^3 mixture),2.768677296282309,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
Multivariate (Scaled),m8,Age (day),7.280850057208766,104.14373915585101,0.624049556566519,141.31063315103484,0.36849734634026654
