feature,best_lr,best_n_iters,w0_bias,w1,train_mse,train_r2,test_mse,test_r2,final_loss,lr_base
Cement (component 1)(kg in a m^3 mixture),5.088566239845405e-06,300000,4.651760015023974,0.1116641929229523,216.0274632292191,0.2201583959521961,255.38264782608815,-0.14127872902848693,216.02749489681557,5.088566239845405e-06
Age (day),7.658415747971938e-05,150000,32.54292443181957,0.09520913747984328,242.96957563196457,0.12289955747618397,299.25469172136025,-0.3373383709927884,242.96957563196565,7.658415747971938e-05
Superplasticizer (component 5)(kg in a m^3 mixture),0.00543237524380625,50000,30.832101765349183,0.8881427762300046,248.81893443210546,0.10178384708841315,197.72669973115296,0.11637975999904437,248.81893443210646,0.00543237524380625
Fly Ash (component 3)(kg in a m^3 mixture),6.067178443669852e-05,300000,39.9909220986469,-0.05340339512568932,265.25058106070446,0.04246693676392921,382.509456527076,-0.70939533324865,265.2505810607056,6.067178443669852e-05
Blast Furnace Slag (component 2)(kg in a m^3 mixture),3.5010325127737245e-05,300000,34.52156599415892,0.031600413137063625,269.96468282174817,0.02544941212135099,310.2123187000151,-0.38630687647983186,269.96468282175294,3.5010325127737245e-05
Coarse Aggregate  (component 6)(kg in a m^3 mixture),4.7159094437717555e-07,300000,0.1132657097639117,0.03739504625667173,297.88674531710615,-0.07534696663165286,344.1105139797533,-0.5377944170568429,297.88674561862996,4.7159094437717555e-07
Fine Aggregate (component 7)(kg in a m^3 mixture),7.460340431504019e-07,300000,0.30040134149125275,0.04655689367829784,311.070008373286,-0.12293747598002591,332.81613777267273,-0.48732101397910377,311.07000971009353,7.460340431504019e-07
Water  (component 4)(kg in a m^3 mixture),1.3572888884707732e-05,300000,8.52360871021402,0.1517243093166763,320.5380163873433,-0.1571162162496622,321.69610099582275,-0.4376267158446596,320.53806896666805,1.3572888884707732e-05
