feature,lr,n_iters,w0_bias,w1,train_mse,train_r2,test_mse,test_r2,final_loss
Cement (component 1)(kg in a m^3 mixture),0.05,15000,36.92677829782854,8.558362918993566,203.7687379026718,0.264411399155277,265.95260116157345,-0.18851476096448594,203.7687379034758
Age (day),0.05,15000,36.92677829782854,5.834797273277183,242.96957562984113,0.12289955748384951,299.25427857552853,-0.33733652468665243,242.9695756306232
Superplasticizer (component 5)(kg in a m^3 mixture),0.05,15000,36.92677829782854,5.309945243018489,248.8189344353195,0.10178384707681076,197.72650232091283,0.11638064220505906,248.81893443609835
Water  (component 4)(kg in a m^3 mixture),0.05,15000,36.92677829782854,-4.609322792685544,255.76861778007554,0.07669605441292959,261.30960444678675,-0.16776568723280594,255.7686177808505
Fly Ash (component 3)(kg in a m^3 mixture),0.05,15000,36.92677829782854,-3.4298575220683984,265.25058105602363,0.04246693678082669,382.5111141179459,-0.7094027408513881,265.25058105679324
Blast Furnace Slag (component 2)(kg in a m^3 mixture),0.05,15000,36.92677829782854,2.6551526278184854,269.96468276290074,0.025449412333785504,310.2131746115245,-0.38631070146014257,269.9646827636677
Fine Aggregate (component 7)(kg in a m^3 mixture),0.05,15000,36.92677829782854,-2.503443542464566,270.7472910871381,0.02262425981941818,282.8362180118651,-0.26396590435394085,270.7472910879046
Coarse Aggregate  (component 6)(kg in a m^3 mixture),0.05,15000,36.92677829782854,-2.122748720178461,272.50846396881605,0.016266568697544725,275.5941621390382,-0.23160190314849594,272.50846396958156
