iteration,mse_loss
0,1640.6057077056348
1,1346.5978273517699
2,1109.9695982700641
3,919.3613538538344
4,765.700853953714
5,641.732793844453
6,541.6476679777179
7,460.78832594629523
8,395.4174637757532
9,342.53303845020235
10,299.7214662890022
11,265.04067925336307
12,236.92682557045924
13,214.11973048805504
14,195.60326855163134
15,180.5576079361379
16,168.32092135697556
17,158.35865613660116
18,150.23884820921978
19,143.61227439565042
20,138.19648210503803
21,133.76292963102262
22,130.12662423296518
23,127.13776767659095
24,124.67501646435925
25,122.64004180081866
26,120.95313649102991
27,119.549665675652
28,118.37719810360616
29,117.39318654179642
30,116.56309151436368
31,115.85886311675154
32,115.25771216910442
33,114.74111526122287
34,114.29400893736863
35,113.90413688486953
36,113.56152093464071
37,113.2580322818766
38,112.98704385378252
39,112.7431483989416
40,112.52192981892023
41,112.31977764298497
42,112.1337364707139
43,111.96138376289011
44,111.80073061928985
45,111.65014119998703
46,111.50826727068801
47,111.37399501958853
48,111.24640183332346
49,111.12472115701686
50,111.0083139178202
51,110.89664527848298
52,110.78926572023617
53,110.6857956429328
54,110.58591282336116
55,110.48934219669714
56,110.39584752668263
57,110.30522461174414
58,110.2172957405003
59,110.13190516385708
60,110.04891539452032
61,109.968204180175
62,109.88966202534179
63,109.81319016027847
64,109.7386988742677
65,109.66610614604691
66,109.5953365166608
67,109.52632016019957
68,109.4589921161597
69,109.3932916538948
70,109.3291617450962
71,109.26654862469495
72,109.20540142419905
73,109.14567186442798
74,109.08731399700656
75,109.0302839859341
76,108.97453992213698
77,108.92004166520955
78,108.86675070760508
79,108.81463005740117
80,108.76364413646529
81,108.71375869142149
82,108.66494071528601
83,108.61715837802221
84,108.5703809645777
85,108.52457881922135
86,108.47972329520682
87,108.43578670895947
88,108.39274229812459
89,108.35056418292751
90,108.3092273303916
91,108.26870752103618
92,108.2289813177406
93,108.19002603651124
94,108.1518197189321
95,108.11434110611484
96,108.07756961399181
97,108.0414853098215
98,108.00606888979387
99,107.97130165764027
100,107.9371655041665
101,107.90364288763755
102,107.87071681495392
103,107.83837082356516
104,107.80658896407436
105,107.77535578349197
106,107.74465630910255
107,107.71447603291135
108,107.68480089664104
109,107.65561727725255
110,107.62691197296495
111,107.59867218975255
112,107.57088552829852
113,107.54353997138627
114,107.51662387171072
115,107.4901259400932
116,107.46403523408452
117,107.43834114694162
118,107.41303339696431
119,107.3881020171786
120,107.36353734535511
121,107.33933001435022
122,107.31547094275906
123,107.29195132586942
124,107.2687626269068
125,107.2458965685605
126,107.22334512478112
127,107.20110051284126
128,107.17915518564978
129,107.15750182431188
130,107.13613333092691
131,107.11504282161586
132,107.09422361977128
