feature,lr,n_iters,w0_bias,w1,train_mse,train_r2,test_mse,test_r2,final_loss
Cement (component 1)(kg in a m^3 mixture),1e-07,20000,0.007745503728793352,0.12625615059275416,230.34989567188032,0.16845557760219787,255.93034365951243,-0.1437263252531542,230.34989702130122
Coarse Aggregate  (component 6)(kg in a m^3 mixture),1e-07,20000,0.0016403300478505848,0.037508957713159694,297.97608059267606,-0.0756694597237677,344.2780947023246,-0.538543318032277,297.97608065683875
Fine Aggregate (component 7)(kg in a m^3 mixture),1e-07,20000,0.0027506152979484386,0.04693800696119788,311.4694321755811,-0.12437936347905265,333.19315341721494,-0.4890058580328782,311.4694323565447
Water  (component 4)(kg in a m^3 mixture),1e-07,20000,0.005526186139352646,0.19815449569372995,338.3885811481791,-0.22155530583652072,332.4099072981093,-0.4855056118613448,338.38858164232767
Age (day),1e-07,20000,0.08583079285929199,0.3495760003157554,916.3343399779245,-2.3078925746317642,901.0412411420175,-3.026660429932954,916.3345121300725
Blast Furnace Slag (component 2)(kg in a m^3 mixture),1e-07,20000,0.0771642354257481,0.23556672258996256,921.7115319258974,-2.327303801016118,1036.0146601411388,-3.6298427267695317,921.7116751304887
Fly Ash (component 3)(kg in a m^3 mixture),1e-07,20000,0.09083237186973107,0.25528642766674836,1150.6216247940724,-3.153650652183069,610.6363015693755,-1.728870689085876,1150.6218217342612
Superplasticizer (component 5)(kg in a m^3 mixture),1e-07,20000,0.13338872745920147,0.96919658206999,1157.624203106531,-3.178929391386073,875.3577447006702,-2.911883531717263,1157.6412052649216
