iteration,mse_loss
0,1640.6057077056348
1,884.8472333344486
2,549.3199878655348
3,400.21401798027904
4,333.8081474655719
5,304.09029256097557
6,290.64888192539667
7,284.42906824939087
8,281.4139963951535
9,279.82173084073423
10,278.86177582876047
11,278.18345135028915
12,277.6311854762542
13,277.1359588172019
14,276.667147857777
15,276.21116202640246
16,275.76196681827594
17,275.3168797279417
18,274.87470526953734
19,274.4349076470978
20,273.9972437400712
21,273.56160029071896
22,273.12792167815667
23,272.6961778778222
24,272.2663502477279
25,271.8384252229099
26,271.4123915180573
27,270.988238886419
28,270.5659575690948
29,270.1455380505902
30,269.7269709502373
31,269.31024697388574
32,268.89535689233213
33,268.48229153161174
34,268.07104176855285
35,267.66159852866707
36,267.2539527850755
37,266.8480955578968
38,266.44401791383876
39,266.0417109658832
40,265.641165873011
41,265.2423738399468
42,264.8453261169127
43,264.45001399938707
44,264.0564288278653
45,263.66456198762364
46,263.2744049084836
47,262.8859490645783
48,262.4991859741202
49,262.11410719916955
50,261.73070434540426
51,261.3489690618917
52,260.9688930408604
53,260.5904680174741
54,260.21368576960657
55,259.8385381176175
56,259.46501692412954
57,259.09311409380706
58,258.7228215731354
59,258.35413135020156
60,257.9870354544762
61,257.62152595659677
62,257.2575949681514
63,256.89523464146447
64,256.53443716938244
65,256.17519478506256
66,255.81749976176042
67,255.4613444126204
68,255.10672109046638
69,254.7536221875938
70,254.40204013556277
71,254.05196740499238
72,253.70339650535576
73,253.35631998477672
74,253.01073042982716
75,252.66662046532548
76,252.32398275413613
77,251.9828099969706
78,251.6430949321887
79,251.30483033560165
80,250.96800902027564
81,250.63262383633682
82,250.29866767077706
83,249.96613344726077
84,249.6350141259331
85,249.3053027032286
86,248.97699221168108
87,248.65007571973496
88,248.32454633155663
89,248.00039718684783
90,247.67762146065942
91,247.3562123632061
92,247.03616313968274
93,246.71746707008054
94,246.40011746900555
95,246.08410768549695
96,245.76943110284705
97,245.4560811384218
98,245.14405124348258
99,244.83333490300865
100,244.52392563552075
101,244.21581699290527
102,243.90900256024014
103,243.60347595562058
104,243.29923082998675
105,242.99626086695153
106,242.69455978262963
107,242.39412132546758
108,242.09493927607463
109,241.7970074470543
110,241.50031968283707
111,241.2048698595139
112,240.91065188467044
113,240.6176596972225
114,240.325887267252
115,240.03532859584402
116,239.74597771492458
117,239.45782868709946
118,239.1708756054935
119,238.8851125935913
120,238.60053380507813
121,238.31713342368238
122,238.03490566301804
123,237.75384476642876
124,237.47394500683217
125,237.19520068656553
126,236.9176061372317
127,236.64115571954616
128,236.36584382318497
129,236.09166486663324
130,235.81861329703455
131,235.54668359004128
132,235.27587024966545
133,235.00616780813058
134,234.73757082572433
135,234.4700738906517
136,234.2036716188892
137,233.93835865403972
138,233.67412966718837
139,233.4109793567585
140,233.14890244836923
141,232.88789369469322
142,232.62794787531539
143,232.3690597965922
144,232.11122429151203
145,231.8544362195559
146,231.5986904665592
147,231.34398194457387
148,231.09030559173183
149,230.83765637210843
150,230.58602927558712
151,230.33541931772479
152,230.08582153961743
153,229.83723100776723
154,229.58964281394944
155,229.34305207508086
156,229.09745393308816
157,228.85284355477782
158,228.60921613170575
159,228.3665668800487
160,228.124891040475
161,227.8841838780175
162,227.64444068194587
163,227.4056567656404
164,227.16782746646615
165,226.93094814564765
166,226.69501418814454
167,226.46002100252772
168,226.22596402085625
169,225.9928386985546
170,225.76064051429086
171,225.52936496985552
172,225.299007590041
173,225.0695639225213
174,224.84102953773308
175,224.61340002875662
176,224.38667101119805
177,224.1608381230715
178,223.9358970246825
179,223.7118433985119
180,223.48867294909982
181,223.266381402931
182,223.0449645083203
183,222.82441803529878
184,222.60473777550067
185,222.3859195420507
186,222.16795916945202
187,221.95085251347487
188,221.73459545104575
189,221.51918388013698
190,221.30461371965745
191,221.0908809093429
192,220.87798140964802
193,220.66591120163807
194,220.4546662868818
195,220.2442426873444
196,220.03463644528148
197,219.82584362313298
198,219.6178603034185
199,219.41068258863254
200,219.20430660114025
201,218.9987284830743
202,218.79394439623178
203,218.5899505219716
204,218.38674306111304
205,218.1843182338341
206,217.9826722795709
207,217.78180145691718
208,217.58170204352493
209,217.38237033600487
210,217.18380264982787
211,216.98599531922684
212,216.7889446970989
213,216.5926471549086
214,216.39709908259087
215,216.20229688845518
216,216.00823699908977
217,215.81491585926682
218,215.62232993184745
219,215.43047569768783
220,215.2393496555456
221,215.04894832198676
222,214.85926823129282
223,214.6703059353688
224,214.48205800365167
225,214.29452102301903
226,214.10769159769848
227,213.92156634917728
228,213.7361419161128
229,213.55141495424309
230,213.36738213629803
231,213.18404015191138
232,213.00138570753217
233,212.81941552633813
234,212.63812634814803
235,212.4575149293357
236,212.27757804274364
237,212.09831247759766
238,211.91971503942156
239,211.74178254995266
240,211.56451184705722
241,211.387899784647
242,211.21194323259567
243,211.036639076656
244,210.86198421837727
245,210.68797557502333
246,210.51461007949075
247,210.34188468022802
248,210.1697963411544
249,209.9983420415797
250,209.82751877612458
251,209.65732355464058
252,209.48775340213155
253,209.31880535867467
254,209.15047647934213
255,208.9827638341236
256,208.81566450784857
257,208.64917560010932
258,208.48329422518435
259,208.31801751196227
260,208.1533426038657
261,207.9892666587761
262,207.82578684895876
263,207.66290036098786
264,207.5006043956725
265,207.33889616798294
266,207.17777290697677
267,207.01723185572618
268,206.8572702712451
269,206.6978854244169
270,206.53907459992254
271,206.38083509616894
272,206.22316422521772
273,206.06605931271463
274,205.90951769781893
275,205.75353673313344
276,205.59811378463468
277,205.4432462316037
278,205.28893146655713
279,205.13516689517843
280,204.9819499362497
281,204.82927802158397
282,204.6771485959574
283,204.52555911704226
284,204.37450705534
285,204.2239898941151
286,204.07400512932844
287,203.92455026957194
288,203.77562283600298
289,203.62722036227933
290,203.47934039449422
291,203.33198049111235
292,203.1851382229054
293,203.03881117288864
294,202.89299693625722
295,202.74769312032333
296,202.60289734445337
297,202.45860724000568
298,202.31482045026814
299,202.17153463039682
300,202.02874744735428
301,201.88645657984864
302,201.74465971827254
303,201.60335456464304
304,201.46253883254113
305,201.322210247052
306,201.1823665447057
307,201.04300547341776
308,200.90412479243022
309,200.76572227225327
310,200.62779569460676
311,200.49034285236232
312,200.3533615494857
313,200.2168496009794
314,200.08080483282552
315,199.94522508192904
316,199.8101081960614
317,199.67545203380433
318,199.54125446449376
319,199.40751336816462
320,199.2742266354951
321,199.14139216775197
322,199.00900787673567
323,198.87707168472608
324,198.74558152442805
325,198.61453533891796
326,198.48393108158976
327,198.3537667161019
328,198.22404021632414
329,198.09474956628497
330,197.96589276011906
331,197.83746780201508
332,197.70947270616372
333,197.5819054967062
334,197.45476420768273
335,197.32804688298134
336,197.20175157628748
337,197.07587635103283
338,196.95041928034553
339,196.82537844699965
340,196.70075194336596
341,196.57653787136175
342,196.45273434240227
343,196.32933947735103
